"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"ENSMUSG00000114584"	56.3961554348154	-0.197123456705967	0.337884946725868	0.000167112388655823	0.0984087165401532
"ENSMUSG00000021025"	5019.59033542271	0.082753659434472	0.163411646176387	0.000166486533027334	0.0984087165401532
"ENSMUSG00000073421"	1799.65564525609	-0.155950159582108	0.27256311432599	0.00016736176282339	0.0984087165401532
"ENSMUSG00000024610"	4415.73379712297	-0.163910862232796	0.305837896999943	0.000202781875446175	0.115622538436219
"ENSMUSG00000027335"	484.250526741016	0.120344749824406	0.23992518299946	0.000221559557311484	0.122613665599202
"ENSMUSG00000020061"	51.7300845249427	-0.165886159584326	0.338183736524965	0.000246251621997475	0.128945140303354
"ENSMUSG00000060550"	45.0352656310168	-0.15868991700421	0.42736058270384	0.000246706263335499	0.128945140303354
"ENSMUSG00000113637"	940.955476060456	0.0684874452443205	0.164029514973485	0.000288311302541074	0.146617985638185
"ENSMUSG00000070880"	74.521776313227	-0.107526458599389	0.245644522271787	0.000317576374191091	0.150441994158868
"ENSMUSG00000114169"	36.0004573975874	0.134756275787631	0.395093880597886	0.000311704762296439	0.150441994158868
"ENSMUSG00000101355"	149.737333658757	-0.0917487941181123	0.214646691396331	0.000319817164453376	0.150441994158868
"ENSMUSG00000112824"	43.7765292866195	0.134974194361018	0.384166969524861	0.000340102277527787	0.156082059852752
"ENSMUSG00000026185"	10529.4646678722	0.0225864335247732	0.0728525889621496	0.000361995278671653	0.162173884844901
"ENSMUSG00000097472"	27.9913385803934	0.130153656587126	0.343541573036897	0.000391829985536041	0.171457511810375
"ENSMUSG00000035783"	868.756405079805	-0.102221566084128	0.256891815230634	0.000405530773339783	0.173419705253667
"ENSMUSG00000104125"	264.279734597236	0.0695044560272425	0.188042264591809	0.000442479157911514	0.185015285228068
"ENSMUSG00000102856"	530.631314916983	0.101799511485414	0.285876262171974	0.000507047915659471	0.207404643066274
"ENSMUSG00000036390"	381.616296534177	0.0760214332134803	0.217236584378623	0.000540909964240318	0.216548125258422
"ENSMUSG00000024486"	234.17017138587	0.0261721933830225	0.0915861321844984	0.00056341749454799	0.220859657862812
